epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,498.314,0.92081,3.86999,0.91106,0.00192,0.40642,0.13612,0.09571,0.9998,5.1356,0.84775,0.000650407,0.000650407,0.000650407
2,835.868,0.90781,2.70584,0.92697,0.97163,0.18318,0.5514,0.37983,1.15114,4.79832,0.95151,0.00131273,0.00131273,0.00131273
3,1167.35,0.87692,2.08611,0.91517,0.88649,0.79679,0.88053,0.68133,0.98805,2.71263,0.91753,0.00197065,0.00197065,0.00197065
4,1487.91,0.93965,1.69302,0.95321,0.88254,0.87166,0.90605,0.69932,0.93951,1.81368,0.90904,0.0019802,0.0019802,0.0019802
5,1811.37,0.91498,1.39977,0.94113,0.92575,0.80008,0.91209,0.67841,0.98069,1.64599,0.91468,0.0019736,0.0019736,0.0019736
6,2134.76,0.87107,1.17189,0.93357,0.91049,0.87032,0.91267,0.70693,0.93039,1.25951,0.90796,0.001967,0.001967,0.001967
7,2456.49,0.84791,0.97146,0.92247,0.90184,0.88439,0.92471,0.72802,0.924,1.21006,0.90658,0.0019604,0.0019604,0.0019604
8,2821.19,0.84686,0.86514,0.91853,0.91295,0.8877,0.93957,0.74205,0.87251,0.97427,0.88581,0.0019538,0.0019538,0.0019538
9,3150.36,0.79328,0.81683,0.90873,0.87309,0.76471,0.84433,0.66874,0.96915,1.29212,0.89847,0.0019472,0.0019472,0.0019472
10,3475.12,0.79594,0.74185,0.90826,0.90962,0.90909,0.95034,0.7613,0.91995,0.96861,0.89798,0.0019406,0.0019406,0.0019406
11,3805.18,0.78603,0.68961,0.8922,0.91342,0.89305,0.94873,0.75062,0.93044,0.88767,0.90247,0.001934,0.001934,0.001934
12,4130.61,0.76615,0.65989,0.88756,0.92211,0.88637,0.95718,0.77459,0.85542,0.86138,0.88387,0.0019274,0.0019274,0.0019274
13,4457.64,0.7473,0.62826,0.87909,0.94954,0.90573,0.96299,0.79299,0.85721,0.79765,0.89175,0.0019208,0.0019208,0.0019208
14,4790.18,0.75115,0.62049,0.88791,0.92243,0.8877,0.94376,0.77823,0.79452,0.78728,0.87174,0.0019142,0.0019142,0.0019142
15,5114.82,0.7307,0.58847,0.87368,0.93911,0.87701,0.95039,0.75691,0.85256,0.8276,0.88753,0.0019076,0.0019076,0.0019076
16,5438.82,0.73402,0.58167,0.88769,0.93801,0.89011,0.95606,0.80126,0.74795,0.87114,0.85298,0.001901,0.001901,0.001901
17,5765.1,0.71272,0.55275,0.86765,0.91362,0.92513,0.95602,0.78183,0.81027,0.71667,0.88054,0.0018944,0.0018944,0.0018944
18,6088.93,0.71271,0.55964,0.87434,0.87181,0.90924,0.92172,0.76595,0.82013,0.88685,0.86971,0.0018878,0.0018878,0.0018878
19,6421.6,0.73848,0.55174,0.87906,0.91888,0.9086,0.94251,0.75944,0.84337,0.81238,0.88455,0.0018812,0.0018812,0.0018812
20,6749.63,0.69896,0.51374,0.87225,0.92359,0.90494,0.94458,0.79784,0.75874,0.71524,0.85106,0.0018746,0.0018746,0.0018746
21,7083.23,0.682,0.49153,0.87285,0.95199,0.84831,0.9267,0.7653,0.77497,0.92442,0.85705,0.001868,0.001868,0.001868
22,7410.08,0.71231,0.51316,0.86825,0.92288,0.91444,0.943,0.7769,0.79479,0.66195,0.86077,0.0018614,0.0018614,0.0018614
23,7739.48,0.6783,0.47938,0.86972,0.95218,0.89305,0.92792,0.74977,0.85652,1.0074,0.88968,0.0018548,0.0018548,0.0018548
24,8068.59,0.70625,0.50458,0.87194,0.90827,0.94118,0.95732,0.77562,0.82039,0.78973,0.86233,0.0018482,0.0018482,0.0018482
25,8401.98,0.69167,0.48369,0.87032,0.92446,0.91628,0.95391,0.77887,0.74503,0.84644,0.8487,0.0018416,0.0018416,0.0018416
26,8731.92,0.69934,0.48855,0.86596,0.95327,0.90374,0.95493,0.76811,0.86476,0.76983,0.87088,0.001835,0.001835,0.001835
27,9061,0.68127,0.47433,0.87224,0.94082,0.89305,0.95368,0.7829,0.8045,0.7081,0.85312,0.0018284,0.0018284,0.0018284
28,9391.1,0.67524,0.46592,0.85751,0.95256,0.92513,0.96069,0.8092,0.78759,0.83403,0.85522,0.0018218,0.0018218,0.0018218
29,9721.73,0.66809,0.46889,0.85508,0.9405,0.93048,0.96227,0.79366,0.81261,0.64227,0.86709,0.0018152,0.0018152,0.0018152
30,10052.9,0.68543,0.48656,0.85726,0.94255,0.87736,0.95069,0.80088,0.78917,0.96455,0.86005,0.0018086,0.0018086,0.0018086
