               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.038515,            0.017397,            0.071993,            0.022253,             0.99871,            0.042104,            0.034301,             0.00557,            0.002865,            0.028391,            0.070023,           0.0033308,           0.0033308
                   1,            0.023489,            0.010929,            0.065625,             0.56284,             0.28629,             0.16005,             0.12626,           0.0053957,           0.0023309,            0.022879,            0.038703,           0.0053447,           0.0053447
                   2,             0.02127,            0.010111,            0.055782,              0.5804,              0.4026,             0.23301,             0.19665,           0.0046553,           0.0024134,            0.018758,           0.0060635,           0.0060385,           0.0060385
                   3,            0.018285,           0.0094336,            0.049959,             0.50239,              0.4748,             0.29341,             0.24415,           0.0052526,            0.002437,            0.015816,             0.00406,             0.00406,             0.00406
                   4,             0.01737,           0.0090774,            0.046474,              0.5541,             0.53087,             0.37025,             0.31089,           0.0045475,           0.0021323,             0.01445,             0.00406,             0.00406,             0.00406
