               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.03885,            0.017331,            0.072085,            0.021281,             0.99986,            0.038512,            0.028591,           0.0067485,            0.002817,            0.028418,            0.070023,           0.0033308,           0.0033308
                   1,            0.023305,             0.01097,            0.065445,             0.56837,             0.30161,              0.1458,             0.11246,           0.0053406,           0.0023528,            0.023165,            0.038703,           0.0053447,           0.0053447
                   2,            0.021307,           0.0099863,            0.055537,             0.52252,             0.39142,             0.22858,             0.18515,           0.0055117,           0.0023581,            0.018824,           0.0060635,           0.0060385,           0.0060385
                   3,             0.01867,           0.0093933,            0.050274,             0.60478,             0.46895,             0.28865,             0.23685,           0.0054428,           0.0022089,            0.016647,             0.00406,             0.00406,             0.00406
                   4,            0.017614,           0.0091341,            0.047012,              0.5252,             0.53279,             0.36344,             0.30843,           0.0042674,           0.0022038,            0.014656,             0.00406,             0.00406,             0.00406
