epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2859.37,0.82931,3.21622,1.28855,0.64656,0.36266,0.36014,0.31153,0.56696,2.26768,1.15332,7.09467e-05,7.09467e-05,7.09467e-05
2,5698.25,0.60436,1.76874,1.10402,0.73333,0.7343,0.77801,0.69561,0.51471,1.1476,1.08665,0.000113841,0.000113841,0.000113841
3,8509.74,0.5499,1.30244,1.05223,0.84418,0.86552,0.89689,0.80904,0.49704,0.81464,1.05704,0.00012862,0.00012862,0.00012862
4,11320.5,0.51213,1.09561,1.02861,0.85543,0.92804,0.9186,0.85449,0.39308,0.69235,0.994,8.6478e-05,8.6478e-05,8.6478e-05
5,14144.7,0.48283,0.98214,1.01168,0.89801,0.94085,0.93143,0.8594,0.42029,0.61159,0.99981,4.4304e-05,4.4304e-05,4.4304e-05
