               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.038662,            0.017325,            0.072281,            0.019785,             0.99986,            0.037146,            0.027779,           0.0069473,           0.0026561,            0.028439,            0.070023,           0.0033308,           0.0033308
                   1,            0.023211,             0.01095,            0.066225,             0.59375,             0.26877,             0.12743,             0.10495,            0.004998,           0.0022059,            0.024044,            0.038703,           0.0053447,           0.0053447
                   2,            0.021167,           0.0099746,            0.056688,              0.5613,             0.34804,              0.2357,             0.19538,           0.0049149,           0.0024241,            0.018817,           0.0060635,           0.0060385,           0.0060385
                   3,            0.018524,            0.009377,            0.050466,             0.56009,              0.4498,             0.28403,             0.23838,           0.0049555,           0.0021741,            0.016918,             0.00406,             0.00406,             0.00406
                   4,            0.017455,           0.0090801,            0.047377,             0.54313,             0.52279,             0.33836,             0.28575,            0.004396,           0.0022172,            0.015156,             0.00406,             0.00406,             0.00406
