epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2894.76,0.79221,3.3782,1.24919,0.63371,0.41544,0.43294,0.35394,0.73151,2.17271,1.31149,7.09467e-05,7.09467e-05,7.09467e-05
2,5767.75,0.59488,1.74033,1.08738,0.77311,0.76742,0.82705,0.75066,0.47066,1.10025,1.06386,0.000113841,0.000113841,0.000113841
3,8639.48,0.53573,1.25679,1.04052,0.85566,0.85294,0.89305,0.78972,0.55307,0.80739,1.10141,0.00012862,0.00012862,0.00012862
4,11503.7,0.49351,1.04726,1.01612,0.90223,0.91149,0.9252,0.85929,0.39765,0.6474,0.98592,8.6478e-05,8.6478e-05,8.6478e-05
5,14349.8,0.4646,0.93739,1.00089,0.90579,0.93453,0.94335,0.86198,0.44193,0.58619,1.00769,4.4304e-05,4.4304e-05,4.4304e-05
