epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,468.818,1.98681,0.7867,0.97255,0.64746,0.00333088,0.00333088,0.00333088
2,920.695,0.50543,0.9009,0.98397,0.34215,0.00662023,0.00662023,0.00662023
3,1370.68,0.43357,0.86627,0.98711,0.4198,0.00986558,0.00986558,0.00986558
4,1828.19,0.40796,0.85283,0.97808,0.49163,0.009802,0.009802,0.009802
5,2291.23,0.27568,0.92411,0.99484,0.25878,0.009736,0.009736,0.009736
6,2750.33,0.22145,0.92337,0.99521,0.31068,0.00967,0.00967,0.00967
7,3211.55,0.19106,0.91361,0.99484,0.27864,0.009604,0.009604,0.009604
8,3671.51,0.1766,0.92209,0.9965,0.28471,0.009538,0.009538,0.009538
9,4132.45,0.15105,0.92393,0.99484,0.24841,0.009472,0.009472,0.009472
10,4590.28,0.14833,0.94179,0.99742,0.23143,0.009406,0.009406,0.009406
11,5049.82,0.13444,0.92669,0.99466,0.31696,0.00934,0.00934,0.00934
12,5509.91,0.12349,0.92374,0.99411,0.32177,0.009274,0.009274,0.009274
13,5972.32,0.12017,0.94106,0.99853,0.19852,0.009208,0.009208,0.009208
14,6429.74,0.11421,0.94585,0.99834,0.2379,0.009142,0.009142,0.009142
15,6885.79,0.11421,0.93535,0.99779,0.2562,0.009076,0.009076,0.009076
16,7347.02,0.10815,0.94861,0.99742,0.20898,0.00901,0.00901,0.00901
17,7811.32,0.10218,0.9464,0.99834,0.21106,0.008944,0.008944,0.008944
18,8271.24,0.09885,0.94143,0.99816,0.25474,0.008878,0.008878,0.008878
19,8727.62,0.10125,0.93848,0.99761,0.26917,0.008812,0.008812,0.008812
20,9188.3,0.09808,0.94272,0.99779,0.23173,0.008746,0.008746,0.008746
21,9643.03,0.09887,0.94069,0.99724,0.29425,0.00868,0.00868,0.00868
22,10096.1,0.09443,0.94603,0.99797,0.24142,0.008614,0.008614,0.008614
23,10551.9,0.0939,0.94585,0.99889,0.23336,0.008548,0.008548,0.008548
24,11005.7,0.09212,0.94327,0.99908,0.24816,0.008482,0.008482,0.008482
25,11459.2,0.09295,0.94493,0.99889,0.2582,0.008416,0.008416,0.008416
26,11913.9,0.09148,0.95027,0.99889,0.2377,0.00835,0.00835,0.00835
27,12370.1,0.0852,0.94824,0.99816,0.27011,0.008284,0.008284,0.008284
28,12830.4,0.08283,0.94548,0.99797,0.2627,0.008218,0.008218,0.008218
29,13284.9,0.07703,0.94879,0.99871,0.26444,0.008152,0.008152,0.008152
30,13739.1,0.08528,0.95211,0.99834,0.24294,0.008086,0.008086,0.008086
31,14193,0.07884,0.95487,0.99761,0.25934,0.00802,0.00802,0.00802
32,14657.2,0.08428,0.95819,0.99816,0.21523,0.007954,0.007954,0.007954
33,15109,0.07689,0.95598,0.99871,0.22304,0.007888,0.007888,0.007888
34,15564.3,0.07415,0.95561,0.99889,0.23195,0.007822,0.007822,0.007822
35,16015.1,0.07715,0.95616,0.99889,0.23619,0.007756,0.007756,0.007756
36,16474,0.07847,0.95542,0.99908,0.23882,0.00769,0.00769,0.00769
37,16935,0.07936,0.9545,0.99926,0.25112,0.007624,0.007624,0.007624
38,17399.2,0.07051,0.95414,0.99926,0.26038,0.007558,0.007558,0.007558
39,17858.8,0.078,0.95321,0.99908,0.26364,0.007492,0.007492,0.007492
40,18322.2,0.07647,0.95285,0.99908,0.25397,0.007426,0.007426,0.007426
41,18778.1,0.07482,0.95395,0.99908,0.24863,0.00736,0.00736,0.00736
42,19233.6,0.06775,0.95432,0.99889,0.24869,0.007294,0.007294,0.007294
