epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,398.792,0.78872,3.3736,1.24259,0.548,0.43569,0.424,0.35931,0.66682,1.55792,1.23409,7.09467e-05,7.09467e-05,7.09467e-05
2,747.421,0.58735,1.72746,1.07136,0.83339,0.70847,0.80585,0.72811,0.46345,0.74124,1.04601,0.000113841,0.000113841,0.000113841
3,1092.52,0.53051,1.24172,1.0337,0.82582,0.8794,0.90583,0.82425,0.4473,0.51374,1.02538,0.00012862,0.00012862,0.00012862
4,1422.95,0.49326,1.03886,1.01355,0.87067,0.93394,0.92874,0.86935,0.372,0.39448,0.97021,8.6478e-05,8.6478e-05,8.6478e-05
5,1757.55,0.46608,0.9329,1.00128,0.88954,0.94914,0.94268,0.87074,0.4148,0.34242,0.99307,4.4304e-05,4.4304e-05,4.4304e-05
