epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6091.29,0.79103,3.37825,1.24795,0.59363,0.42524,0.43072,0.35432,0.71997,2.17105,1.29999,7.09467e-05,7.09467e-05,7.09467e-05
2,12185.4,0.58851,1.73713,1.07699,0.81781,0.74728,0.81262,0.7396,0.45047,1.09266,1.04042,0.000113841,0.000113841,0.000113841
3,18225.7,0.53213,1.2496,1.03643,0.84546,0.85221,0.89838,0.8112,0.48839,0.78572,1.05131,0.00012862,0.00012862,0.00012862
4,24270.8,0.49406,1.04581,1.01609,0.85593,0.92677,0.92193,0.8597,0.38484,0.63326,0.97498,8.6478e-05,8.6478e-05,8.6478e-05
5,30361.8,0.46298,0.93452,1.0002,0.89503,0.94972,0.9398,0.8649,0.42478,0.58299,0.99036,4.4304e-05,4.4304e-05,4.4304e-05
