epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,358.514,0.51482,0.28614,0.81405,0.99264,0.96471,0.99277,0.89045,0.53252,0.29142,0.81947,0.000649573,0.000649573,0.000649573
2,656.671,0.51681,0.29897,0.81381,0.98795,0.96475,0.99339,0.86931,0.5718,0.316,0.82202,0.0013119,0.0013119,0.0013119
3,953.674,0.57928,0.33127,0.82132,0.99813,0.95294,0.99215,0.87876,0.56248,0.332,0.82477,0.00196982,0.00196982,0.00196982
4,1249.48,0.54971,0.32901,0.82407,0.97088,0.98077,0.99048,0.87669,0.5607,0.33897,0.82472,0.0019802,0.0019802,0.0019802
5,1541.35,0.55727,0.34008,0.82402,0.982,0.96274,0.98647,0.84052,0.62702,0.37037,0.84831,0.0019736,0.0019736,0.0019736
6,1835.74,0.56223,0.34335,0.83192,0.98793,0.96282,0.99206,0.86285,0.58348,0.35274,0.8372,0.001967,0.001967,0.001967
7,2133.18,0.5687,0.35489,0.82497,0.97565,0.94264,0.98922,0.85295,0.59192,0.36027,0.82791,0.0019604,0.0019604,0.0019604
8,2428.05,0.56467,0.35258,0.82612,0.95336,0.94706,0.96614,0.84452,0.58185,0.43062,0.83345,0.0019538,0.0019538,0.0019538
9,2721.06,0.5705,0.34612,0.82279,0.97563,0.94706,0.97432,0.85072,0.58602,0.41271,0.83881,0.0019472,0.0019472,0.0019472
10,3014.46,0.57634,0.33968,0.82722,0.92338,0.97647,0.97992,0.82986,0.61818,0.42457,0.84175,0.0019406,0.0019406,0.0019406
11,3310.71,0.58696,0.35077,0.83254,0.96414,0.95294,0.98454,0.86971,0.56758,0.37606,0.8338,0.001934,0.001934,0.001934
12,3602.28,0.59942,0.34528,0.83173,0.97901,0.95294,0.98695,0.86696,0.59324,0.39138,0.84134,0.0019274,0.0019274,0.0019274
13,3892.81,0.57268,0.34971,0.82752,0.97933,0.95882,0.98521,0.85611,0.5946,0.37778,0.83674,0.0019208,0.0019208,0.0019208
14,4180.33,0.56345,0.3271,0.81902,0.97573,0.94595,0.98562,0.85375,0.57602,0.37045,0.83287,0.0019142,0.0019142,0.0019142
15,4466.34,0.5652,0.34126,0.82066,0.98801,0.96911,0.99179,0.86969,0.58046,0.34706,0.83268,0.0019076,0.0019076,0.0019076
16,4751.81,0.56671,0.34352,0.82839,0.98792,0.96236,0.99158,0.87702,0.55261,0.33166,0.82607,0.001901,0.001901,0.001901
17,5038.83,0.55167,0.32738,0.82251,0.98561,0.94706,0.98767,0.85647,0.59657,0.36702,0.83482,0.0018944,0.0018944,0.0018944
18,5326.93,0.55421,0.32147,0.82645,0.99099,0.96471,0.98228,0.85261,0.59374,0.36338,0.83708,0.0018878,0.0018878,0.0018878
19,5614.74,0.5461,0.3235,0.82141,0.9934,0.94118,0.98748,0.87336,0.54433,0.35607,0.8226,0.0018812,0.0018812,0.0018812
20,5905.16,0.56209,0.32883,0.81874,0.96388,0.95882,0.98449,0.87079,0.56501,0.366,0.83094,0.0018746,0.0018746,0.0018746
21,6195.53,0.55529,0.31961,0.82156,0.98451,0.96471,0.99362,0.87087,0.56822,0.32464,0.82659,0.001868,0.001868,0.001868
22,6482.08,0.55647,0.31825,0.82226,0.97628,0.97059,0.99171,0.87716,0.56126,0.33304,0.82618,0.0018614,0.0018614,0.0018614
23,6770.69,0.55693,0.32552,0.81929,0.99152,0.96471,0.99138,0.87663,0.57876,0.33889,0.82943,0.0018548,0.0018548,0.0018548
24,7059.08,0.56605,0.3274,0.82123,0.98807,0.97437,0.99165,0.87554,0.55382,0.33329,0.82846,0.0018482,0.0018482,0.0018482
25,7345.81,0.59832,0.34674,0.83111,0.965,0.97326,0.99036,0.87861,0.56136,0.35397,0.82488,0.0018416,0.0018416,0.0018416
26,7638.04,0.58125,0.33172,0.8254,0.98156,0.96471,0.99161,0.86388,0.55423,0.33886,0.82535,0.001835,0.001835,0.001835
27,7927.89,0.56068,0.32878,0.81656,0.98141,0.96471,0.98958,0.87378,0.55165,0.34193,0.82286,0.0018284,0.0018284,0.0018284
28,8219.39,0.58669,0.33684,0.82475,0.9484,0.97303,0.98264,0.85105,0.60005,0.38221,0.83784,0.0018218,0.0018218,0.0018218
29,8511.89,0.5615,0.3342,0.82449,0.97985,0.95882,0.98479,0.86921,0.57107,0.37234,0.8288,0.0018152,0.0018152,0.0018152
30,8805.79,0.54877,0.31355,0.81523,0.9901,0.95882,0.97791,0.86282,0.54766,0.35422,0.82305,0.0018086,0.0018086,0.0018086
31,9098.44,0.53644,0.3022,0.81826,0.97613,0.9622,0.98185,0.8706,0.5605,0.37374,0.82332,0.001802,0.001802,0.001802
