epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4878.92,0.83088,3.21357,1.28748,0.39471,0.44538,0.36305,0.31481,0.55476,2.27624,1.14348,7.09467e-05,7.09467e-05,7.09467e-05
2,9782.4,0.60328,1.76358,1.10253,0.71954,0.71494,0.75825,0.65938,0.59164,1.21137,1.15295,0.000113841,0.000113841,0.000113841
3,14690.1,0.54874,1.30095,1.05231,0.83032,0.87961,0.88968,0.8065,0.47995,0.81777,1.04699,0.00012862,0.00012862,0.00012862
4,19595.4,0.51173,1.09709,1.02891,0.87813,0.92192,0.91735,0.84964,0.40337,0.69464,0.99586,8.6478e-05,8.6478e-05,8.6478e-05
5,24503.3,0.48264,0.98202,1.01157,0.89271,0.94568,0.93141,0.86203,0.41058,0.6181,0.99352,4.4304e-05,4.4304e-05,4.4304e-05
