epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,460.697,1.98681,0.7867,0.97255,0.64746,0.00333088,0.00333088,0.00333088
2,905.743,0.50543,0.9009,0.98397,0.34215,0.00662023,0.00662023,0.00662023
3,1348.73,0.43357,0.86627,0.98711,0.4198,0.00986558,0.00986558,0.00986558
4,1788.16,0.40796,0.85283,0.97808,0.49163,0.009802,0.009802,0.009802
5,2229.22,0.27568,0.92411,0.99484,0.25878,0.009736,0.009736,0.009736
6,2665.21,0.22145,0.92337,0.99521,0.31068,0.00967,0.00967,0.00967
7,3107.11,0.19106,0.91361,0.99484,0.27864,0.009604,0.009604,0.009604
8,3546.08,0.1766,0.92209,0.9965,0.28471,0.009538,0.009538,0.009538
9,3984.11,0.15105,0.92393,0.99484,0.24841,0.009472,0.009472,0.009472
10,4419.78,0.14833,0.94179,0.99742,0.23143,0.009406,0.009406,0.009406
11,4857.79,0.13444,0.92669,0.99466,0.31696,0.00934,0.00934,0.00934
12,5294.68,0.12349,0.92374,0.99411,0.32177,0.009274,0.009274,0.009274
13,5734.55,0.12017,0.94106,0.99853,0.19852,0.009208,0.009208,0.009208
14,6177.12,0.11421,0.94585,0.99834,0.2379,0.009142,0.009142,0.009142
15,6623.3,0.11421,0.93535,0.99779,0.2562,0.009076,0.009076,0.009076
16,7070.61,0.10815,0.94861,0.99742,0.20898,0.00901,0.00901,0.00901
17,7520.19,0.10218,0.9464,0.99834,0.21106,0.008944,0.008944,0.008944
18,7972.16,0.09885,0.94143,0.99816,0.25474,0.008878,0.008878,0.008878
19,8412.39,0.10125,0.93848,0.99761,0.26917,0.008812,0.008812,0.008812
20,8850.42,0.09808,0.94272,0.99779,0.23173,0.008746,0.008746,0.008746
21,9292.66,0.09887,0.94069,0.99724,0.29425,0.00868,0.00868,0.00868
