epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,284.446,0.82767,3.20575,1.2821,0.75493,0.36837,0.41257,0.34137,0.6779,1.50858,1.25001,7.09467e-05,7.09467e-05,7.09467e-05
2,565.758,0.60534,1.73843,1.09896,0.80718,0.73333,0.80761,0.70376,0.57724,0.7461,1.12994,0.000113841,0.000113841,0.000113841
3,841.363,0.54899,1.27436,1.05046,0.80961,0.86367,0.87889,0.7625,0.60143,0.588,1.15626,0.00012862,0.00012862,0.00012862
4,1118.1,0.51143,1.0725,1.02639,0.86958,0.93364,0.92707,0.86339,0.38992,0.43068,0.98744,8.6478e-05,8.6478e-05,8.6478e-05
5,1391.92,0.48489,0.96768,1.0132,0.89903,0.94271,0.93821,0.85233,0.44287,0.37904,1.01832,4.4304e-05,4.4304e-05,4.4304e-05
